ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k
27.21,10.0,3.77,316,71,49775.09,-3.15,10.6,13940,0.732,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,2,2021-Q2,2021-04-01,True,False,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
19.91,6.21,8.03,3439,2892,57904.94,,5.2,63539,0.775,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2024,3,2024-Q3,2024-07-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
56.6,7.99,6.12,354,279,12248.36,1.39,7.8,5897,0.818,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2024,4,2024-Q4,2024-10-01,False,True,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
33.56,5.17,0.7,102,25,152866.65,-2.62,4.1,40660,0.843,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2022,4,2022-Q4,2022-10-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
15.45,6.65,1.38,692,212,52096.22,-1.11,4.9,150096,0.835,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,4,2021-Q4,2021-10-01,True,False,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
16.05,8.02,6.94,415,210,348879.1,1.63,5.7,13061,0.628,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2023,2,2023-Q2,2023-04-01,False,True,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
30.9,6.81,5.69,644,177,11776.93,2.57,2.2,26235,0.926,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2022,3,2022-Q3,2022-07-01,False,False,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
0.5,8.38,3.91,1985,1048,66268.15,-1.17,1.4,51433,0.884,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Construction,Industrial,89.5,2.48,Piloting,38.7,Site safety monitoring & design automation,2021,2,2021-Q2,2021-04-01,True,False,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
39.27,9.07,4.91,5511,2533,179443.87,5.95,6.6,115329,0.917,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Real Estate,Finance,73.3,1.4,Exploring,56.1,Property valuation & market analysis,2024,2,2024-Q2,2024-04-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
17.81,0.98,3.82,430,373,59404.14,9.18,4.1,29870,0.814,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2021,4,2021-Q4,2021-10-01,True,False,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
0.5,6.16,4.56,307,179,24508.82,-0.09,0.0,17334,0.757,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2022,2,2022-Q2,2022-04-01,False,False,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
36.55,6.16,3.78,1169,848,1324795.19,2.1,2.7,66069,0.98,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Aerospace & Defence,Industrial,37.9,2.35,Scaling,14.6,Predictive maintenance & simulation,2021,4,2021-Q4,2021-10-01,True,False,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
56.37,4.87,0.33,19,15,77273.06,-0.41,10.3,7929,0.987,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2024,3,2024-Q3,2024-07-01,False,True,SE,Sweden,Europe,Developed,35693008.03,70.1,Established,84.4,1609.0
51.74,3.17,8.22,806,639,29456.09,8.32,5.6,11483,0.87,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Construction,Industrial,89.5,2.48,Piloting,38.7,Site safety monitoring & design automation,2023,2,2023-Q2,2023-04-01,False,True,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0
6.75,6.6,4.99,94,81,61383.08,-4.69,0.3,5538,0.664,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2022,2,2022-Q2,2022-04-01,False,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
6.57,3.21,2.32,383,147,254900.96,-5.64,2.6,16953,0.811,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2021,3,2021-Q3,2021-07-01,True,False,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
32.4,1.07,4.89,4911,3766,39577.27,0.96,0.0,151379,0.804,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2021,1,2021-Q1,2021-01-01,True,False,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
35.57,4.04,4.96,1804,1526,767657.28,-3.3,6.3,62507,0.964,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2024,2,2024-Q2,2024-04-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
20.73,5.06,3.43,866,327,109335.71,-1.55,4.4,51321,0.899,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2022,1,2022-Q1,2022-01-01,True,False,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
48.67,7.85,4.58,5789,2080,160746.01,6.35,2.2,141274,0.773,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,3,2023-Q3,2023-07-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
51.63,5.52,3.79,206,149,54224.08,4.42,1.3,6214,0.68,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2023,4,2023-Q4,2023-10-01,False,True,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
55.82,6.57,3.43,404,305,10019.01,4.88,7.0,27344,0.914,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2024,3,2024-Q3,2024-07-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
21.14,5.5,4.76,424,375,117672.48,3.53,1.7,15702,0.647,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,2,2021-Q2,2021-04-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
3.64,4.42,6.66,610,491,136261.6,0.86,5.6,16858,0.81,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2021,4,2021-Q4,2021-10-01,True,False,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0
20.51,6.32,3.27,9465,2073,22780.52,-0.72,7.0,627518,0.341,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2024,3,2024-Q3,2024-07-01,False,True,IN,India,Asia-Pacific,Emerging,19085020.52,47.1,Developing,56.9,693.0
15.7,4.34,0.0,0,0,116375.32,-1.13,0.7,78369,0.735,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2021,4,2021-Q4,2021-10-01,True,False,GB,United Kingdom,Europe,Developed,17661249.01,79.5,Developing,84.8,1792.0
53.78,5.7,2.32,375,240,87716.72,1.36,5.7,19242,0.579,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2024,4,2024-Q4,2024-10-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
39.56,4.72,7.15,2534,1723,36060.47,-1.1,7.6,66695,0.882,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2024,1,2024-Q1,2024-01-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
53.39,6.76,7.62,30973,9123,21395.58,-2.0,4.3,551928,0.774,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2023,2,2023-Q2,2023-04-01,False,True,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0
77.33,4.6,4.34,216,136,145217.9,-4.56,7.2,7673,0.628,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2022,4,2022-Q4,2022-10-01,False,True,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
47.63,7.93,6.42,147,51,11431.91,1.46,7.5,5375,0.843,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2024,3,2024-Q3,2024-07-01,False,True,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
31.8,5.42,5.08,754,551,8125.88,,6.5,25202,0.975,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2024,4,2024-Q4,2024-10-01,False,True,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
20.38,4.58,5.53,4111,2661,6374.14,4.96,6.8,111209,0.781,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2022,1,2022-Q1,2022-01-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
34.83,6.99,4.31,280,165,110674.83,2.49,5.6,9501,0.925,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2024,4,2024-Q4,2024-10-01,False,True,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
19.66,1.42,4.27,127,53,42872.87,2.54,5.5,9490,0.913,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2024,2,2024-Q2,2024-04-01,False,True,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
0.5,6.81,2.03,3462,2856,121103.73,0.56,,197800,0.686,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2021,3,2021-Q3,2021-07-01,True,False,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
23.1,1.84,5.66,9939,3549,253295.25,7.9,4.9,318283,0.796,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2023,2,2023-Q2,2023-04-01,False,True,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
45.6,7.55,2.63,115,26,46347.74,-5.48,8.1,9280,0.861,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2024,1,2024-Q1,2024-01-01,False,True,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
26.67,3.18,4.26,1809,1508,35790.45,3.79,4.4,43338,0.383,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2021,1,2021-Q1,2021-01-01,True,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
32.38,1.66,6.46,1138,999,26307.47,5.4,5.1,33991,0.83,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2021,2,2021-Q2,2021-04-01,True,False,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
37.53,3.18,2.85,374,142,20004.45,-8.31,5.2,13877,0.831,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2024,2,2024-Q2,2024-04-01,False,True,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
41.44,1.95,2.89,1210,620,20671.15,0.21,4.4,47021,0.858,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2024,1,2024-Q1,2024-01-01,False,True,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
21.34,5.32,3.34,2098,830,113107.85,9.13,,94452,0.836,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2021,1,2021-Q1,2021-01-01,True,False,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
10.15,5.56,3.7,164,91,36410.69,-2.13,0.0,14140,0.816,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2022,3,2022-Q3,2022-07-01,False,False,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
22.25,5.32,3.14,5354,2738,173548.57,2.63,0.0,517613,0.949,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2022,1,2022-Q1,2022-01-01,True,False,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
62.88,6.82,4.18,4973,2749,41840.07,4.12,8.2,244816,0.807,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2022,4,2022-Q4,2022-10-01,False,True,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
45.91,0.3,4.61,927,306,232659.08,-0.29,6.9,20461,0.749,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2022,4,2022-Q4,2022-10-01,False,True,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
27.24,9.33,2.67,166,99,188584.19,1.96,0.0,6939,0.732,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2022,2,2022-Q2,2022-04-01,False,False,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
26.16,4.51,0.58,81,72,926406.06,2.73,3.8,17619,0.678,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2021,3,2021-Q3,2021-07-01,True,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
13.21,2.69,0.24,20,7,18546.4,1.34,2.7,26532,0.58,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2022,1,2022-Q1,2022-01-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
52.31,7.05,4.01,431,319,127215.17,4.33,7.0,20711,0.778,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2024,1,2024-Q1,2024-01-01,False,True,IN,India,Asia-Pacific,Emerging,19085020.52,47.1,Developing,56.9,693.0
39.61,6.01,0.77,38,28,50732.41,7.8,0.0,15419,0.718,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Public Health,Healthcare,95.0,2.09,Scaling,24.8,Epidemiological modelling,2021,2,2021-Q2,2021-04-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
24.85,4.98,4.33,1654,823,203147.86,1.7,0.0,41317,0.803,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2022,1,2022-Q1,2022-01-01,True,False,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
32.96,5.7,8.88,2001,1574,62506.0,2.62,5.5,23071,0.847,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2022,3,2022-Q3,2022-07-01,False,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
27.93,4.11,2.31,898,501,90893.04,4.79,3.5,111734,0.663,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2023,2,2023-Q2,2023-04-01,False,True,CH,Switzerland,Europe,Developed,35093239.12,66.1,Developing,66.7,1934.0
27.59,4.46,2.31,2551,2157,499505.98,,0.5,173059,0.88,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2023,4,2023-Q4,2023-10-01,False,True,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0
22.69,5.6,5.16,1127,741,1555778.19,2.55,0.0,66787,0.755,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Construction,Industrial,89.5,2.48,Piloting,38.7,Site safety monitoring & design automation,2021,4,2021-Q4,2021-10-01,True,False,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
25.69,6.95,2.34,122,57,8837.82,0.69,2.5,10949,0.87,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2022,2,2022-Q2,2022-04-01,False,False,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
53.13,4.91,3.29,688,344,275822.14,5.91,11.0,61401,0.891,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2023,2,2023-Q2,2023-04-01,False,True,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
17.2,5.69,2.66,954,771,133865.1,2.18,8.5,40263,0.867,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2023,4,2023-Q4,2023-10-01,False,True,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
25.07,3.41,4.12,590,238,488057.46,-2.13,1.6,32590,0.915,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2023,4,2023-Q4,2023-10-01,False,True,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0
34.32,3.43,4.03,2107,1064,21222.44,2.99,3.4,81648,0.991,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2021,1,2021-Q1,2021-01-01,True,False,ES,Spain,Europe,Developed,38799166.51,76.8,Developing,83.8,1760.0
24.69,7.08,5.42,984,829,169613.67,-3.41,4.7,28081,0.999,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2021,3,2021-Q3,2021-07-01,True,False,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
10.22,7.97,4.23,2294,1146,158246.94,4.64,14.5,136752,0.822,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,2,2023-Q2,2023-04-01,False,True,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0
34.31,7.36,9.35,499,108,52193.39,-2.51,0.0,14764,0.855,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2022,1,2022-Q1,2022-01-01,True,False,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
41.66,7.15,4.76,8220,5471,158932.17,0.2,7.9,187688,0.873,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2024,4,2024-Q4,2024-10-01,False,True,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
0.5,6.53,0.0,0,0,30554.14,-5.49,3.4,211911,0.81,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2022,1,2022-Q1,2022-01-01,True,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
49.82,8.46,3.82,36,22,27980.4,0.71,4.1,3084,0.826,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Financial Services,Finance,53.9,6.58,Exploring,61.4,Fraud detection & algorithmic trading,2023,4,2023-Q4,2023-10-01,False,True,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
21.41,1.13,4.5,1279,1090,759942.48,-2.99,5.3,53572,0.673,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2024,3,2024-Q3,2024-07-01,False,True,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
29.04,3.3,3.72,433,359,4142.17,3.77,0.1,31642,0.853,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,2021,2,2021-Q2,2021-04-01,True,False,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
27.58,4.27,0.98,482,351,7714.84,4.68,0.0,81005,0.937,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2022,2,2022-Q2,2022-04-01,False,False,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0
46.24,4.61,6.16,2674,1704,208726.56,-2.4,0.7,50889,0.989,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Construction,Industrial,89.5,2.48,Piloting,38.7,Site safety monitoring & design automation,2023,2,2023-Q2,2023-04-01,False,True,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0
14.16,2.62,6.42,8479,3705,219939.11,-8.97,0.0,185000,0.856,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2023,2,2023-Q2,2023-04-01,False,True,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0
